Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,1,5,1,1500,2,39.186368,-86.5344

2015,1,5,1,1600,2,39.111024,-86.638304

2015,1,5,1,1700,3,0,0

2015,1,4,1,2200,14,39.16144,-86.52709845

2015,1,5,1,1400,2,39.14984,-86.533392

2015,1,5,1,1400,4,0,0

2015,1,6,1,1000,2,39.17635934,-86.56266121

2015,1,5,1,1100,8,39.164688,-86.5712

2015,1,5,1,1200,2,39.16424,-86.4984

2015,1,5,1,1600,4,39.15344,-86.5324

2015,1,6,1,1700,14,39.178848,-86.511088

2015,1,6,1,1600,8,39.17302832,-86.51339918

2015,1,6,1,1700,2,39.16459009,-86.57619975

2015,1,6,0,1900,10,39.125312,-86.610496

2015,1,7,0,200,4,39.16664,-86.528192

2015,1,6,1,1200,3,39.16464,-86.568

2015,1,7,0,100,17,39.16968,-86.552192

2015,1,7,0,700,19,39.17896,-86.53472

2015,1,7,0,900,4,39.17524746,-86.52701896

2015,1,7,0,900,17,39.16427532,-86.51640856

2015,1,7,0,1200,14,39.16427532,-86.51640856

2015,1,6,1,1600,14,39.228944,-86.627504

2015,1,6,1,1800,3,39.165648,-86.5324

2015,1,6,1,1800,7,39.079248,-86.619792

2015,1,7,0,1500,8,39.17168,-86.527024

2015,1,7,0,1700,14,39.16851475,-86.52695381

2015,1,7,0,1600,4,39.21040021,-86.50542967

2015,1,7,0,1800,4,39.186544,-86.537888

2015,1,4,1,1800,4,39.10921097,-86.53382873

2015,1,7,0,1500,8,39.175152,-86.534752

2015,1,7,0,1500,15,0,0

2015,1,7,0,1600,4,39.164272,-86.501488

2015,1,5,1,1500,12,39.31562042,-86.66162872

2015,1,6,1,1600,2,39.071056,-86.5356

2015,1,6,0,1900,7,39.0873344,-86.67042215

2015,1,7,0,1100,3,39.16820908,-86.57639312

2015,1,1,0,800,7,39.13688,-86.628768

2015,1,1,0,900,4,39.146944,-86.532544

2015,1,1,0,1200,19,0,0

2015,1,7,0,2100,2,39.231312,-86.636704

2015,1,1,0,1400,2,39.164304,-86.506992

2015,1,6,1,700,1,39.31831096,-86.51055935

2015,1,1,0,800,11,39.16351024,-86.41786097

2015,1,1,0,900,11,39.16351024,-86.41786097

2015,1,1,0,900,11,39.16351024,-86.41786097

2015,1,1,1,2200,1,39.1506691,-86.53471374

