Year,Month,Day,Weekend?,Hour,Primary Factor,Latitude,Longitude
2015,4,7,0,1600,4,39.175504,-86.527104

2015,4,7,0,1400,4,39.16768,-86.538592

2015,4,7,0,1700,3,39.16313969,-86.52727022

2015,4,7,0,1800,2,39.167648,-86.500096

2015,4,6,0,2100,7,39.042144,-86.5412

2015,4,6,1,1600,7,39.122352,-86.5964

2015,4,7,0,1500,7,39.05918475,-86.61081969

2015,4,7,0,1600,4,39.170544,-86.533536

2015,3,2,1,2300,7,39.21649933,-86.59526824

2015,4,6,1,500,12,39.20813215,-86.57812268

2015,4,1,0,0,10,39.168848,-86.481296

2015,4,7,0,500,1,39.125312,-86.610496

2015,4,1,0,400,21,39.16464,-86.5336

2015,4,7,0,1200,16,38.97667209,-86.4416809

2015,4,1,0,900,3,39.16864,-86.528224

2015,4,1,0,100,10,0,0

2015,4,7,0,2200,2,39.171552,-86.515728

2015,1,1,0,1300,20,39.17599001,-86.56318363

